scenario,n_obs,sigma_x_me,sigma_y_me,error_ratio,total_error,beta_true,method,n_simulations,rmse,bias,mae,mape,mse,variance,skewness,kurtosis,quantile_loss_05,huber_loss,consistency_01,consistency_005,relative_bias,cv,bias_squared,bias_proportion,variance_proportion,finite_sample_bias_correction,coverage_95,coverage_90,ci_width_95,ci_width_90,rejection_rate_05
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,clustered,300,0.12301896515901913,-0.05076288364812342,0.09901565569425956,9.901565569425957,0.015133665788795962,0.01259879140386928,0.0776630129535012,-0.005001280390981577,0.04950782784712978,0.007566832894397981,0.54,0.3433333333333333,-0.05076288364812342,0.11824689113553248,0.002576870356272916,0.1702740361942361,0.8325009670291947,-1.827463811332443,1.0,1.0,2.5513433276303195,2.1411548166973,0.0
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,ensemble,300,0.1524702836324065,-0.12691311950155287,0.13147881431793554,13.147881431793554,0.023247187390946486,0.007164127915716776,-0.016591366437501344,-0.1738783648604625,0.06573940715896777,0.011623593695473243,0.36666666666666664,0.16,-0.12691311950155287,0.09694472956501478,0.01610693990161544,0.6928554250777114,0.30817181430329993,-4.568872302055904,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,trimmed,300,0.12444915384663112,-0.08985007679177609,0.1028857181700356,10.28857181700356,0.01548759189314246,0.007439353438449233,-0.06599623449781905,-0.03981875920333788,0.0514428590850178,0.00774379594657123,0.54,0.2733333333333333,-0.08985007679177609,0.09476646032027718,0.00807303629948806,0.5212583308747055,0.48034281183139926,-3.234602764503939,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,median,300,0.11990738323617674,-0.06270105015167567,0.09313154376234568,9.313154376234568,0.014377780554547357,0.010481296519489374,-0.04074291968849349,0.1523159957629212,0.04656577188117284,0.007188890277273679,0.5833333333333334,0.37666666666666665,-0.06270105015167567,0.10922684097569921,0.003931421690122947,0.27343731358311274,0.728992661956743,-2.257237805460324,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,true,300,0.0,0.0,0.0,0.0,0.0,4.946870225048151e-32,,,0.0,0.0,1.0,1.0,0.0,1.5886829073564705e-16,0.0,,,0.0,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,ols,300,0.14044011226904185,-0.07809740191576602,0.11463861001346104,8.188472143818645,0.01972342513414108,0.013669786904496713,0.09513348539211486,-0.26370873694992447,0.05731930500673052,0.00986171256707054,0.49333333333333335,0.2633333333333333,-0.05578385851126144,0.08844665567131119,0.006099204185992693,0.30923656233698593,0.6930736832739274,-2.8115064689675764,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,odr,300,0.13048140150745494,0.03446745460363538,0.1047511583433611,7.482225595954365,0.017025396139349665,0.015890358574410703,0.16447921699332377,-0.34182400746107033,0.05237557917168055,0.008512698069674833,0.56,0.2833333333333333,0.024619610431168133,0.08787718758486479,0.0011880054268536657,0.0697784308294541,0.9333326780975377,1.2408283657308736,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,deming,300,0.24687549515697363,-0.21040419830348134,0.2155724344137829,15.398031029555922,0.060947510109000916,0.016733361316324632,-0.03949781580231118,-0.17541615178691572,0.10778621720689145,0.030473755054500458,0.17333333333333334,0.08,-0.15028871307391523,0.10874071180864506,0.044269926663730697,0.7263615295285505,0.2745536493024577,-7.574551138925328,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,theilsen,300,0.14601776164744076,-0.07494384931716586,0.1191824601930521,8.513032870932292,0.02132118671652882,0.015757129932496415,0.027230298048977294,-0.34265704336907366,0.05959123009652605,0.01066059335826441,0.48,0.22333333333333333,-0.05353132094083276,0.09473365112287084,0.005616580550474061,0.26342720155064914,0.7390362526247668,-2.697978575417971,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,huber,300,0.1466754567833895,-0.07965499341252065,0.12033637586339146,8.595455418813676,0.021513689622615958,0.015219503324816632,0.02816727129882693,-0.28513353166042643,0.06016818793169573,0.010756844811307979,0.47,0.23666666666666666,-0.05689642386608618,0.09343569333350688,0.006344917975548708,0.2949246775819757,0.7074334338642382,-2.8675797628507436,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,quantile,300,0.16578083802036975,-0.08518855121377378,0.13183044196077656,9.416460140055467,0.02748328625473607,0.020293843140636432,-0.05608989140163084,-0.2770573800413705,0.06591522098038828,0.013741643127368036,0.47,0.24,-0.06084896515269557,0.1083474445252988,0.007257089257901758,0.26405463999601486,0.7384067157230618,-3.066787843695856,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,sma,300,0.14388624578600653,0.0865479566756281,0.11391776614405145,8.136983296003677,0.020703251726391085,0.013256892563543165,0.1770637288921579,-0.3902217850757541,0.05695888307202573,0.010351625863195543,0.52,0.31333333333333335,0.06181996905402007,0.07745365987383881,0.0074905488047264,0.36180542572343655,0.6403290042908664,3.1157264403226117,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,majoraxis,300,0.19105144195449322,0.1402994076296411,0.1557483138111724,11.124879557940886,0.036500653472891095,0.016872972934778834,0.20174145400692717,-0.4548420750193145,0.0778741569055862,0.018250326736445548,0.38666666666666666,0.17333333333333334,0.1002138625926008,0.08433166143689555,0.019683923781228196,0.5392759281925562,0.46226495499074644,5.05077867466708,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,rma,300,0.14388624578600653,0.0865479566756281,0.11391776614405145,8.136983296003677,0.020703251726391085,0.013256892563543165,0.1770637288921579,-0.3902217850757541,0.05695888307202573,0.010351625863195543,0.52,0.31333333333333335,0.06181996905402007,0.07745365987383881,0.0074905488047264,0.36180542572343655,0.6403290042908664,3.1157264403226117,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.4,pbablok,300,0.1437985270843399,-0.07672981981561239,0.11853899690419517,8.467071207442514,0.020678016391625635,0.014840017868919026,0.08479110646994147,-0.3221438102581038,0.059269498452097585,0.010339008195812818,0.4866666666666667,0.24,-0.05480701415400884,0.09205951575776686,0.0058874652489363435,0.2847209876146873,0.7176712498849294,-2.7622735133620457,,,,,
