method,method_col,beta_true,sigma_x_me,sigma_y_me,error_ratio,n,mean_bias,rmse,sd_bias,sd_rmse,n_sim
Median,beta_median,1.4,40.0,20.0,0.5,72,-0.2757909032989248,0.2757909032989248,0.08042548319431175,0.08042548319431175,300
ODR,beta_odr,0.6,20.0,40.0,2.0,36,0.018317373707499217,0.09410589223092936,0.11718134903733687,0.07199013468713109,300
ODR,beta_odr,0.6,20.0,40.0,2.0,72,0.02159405663710797,0.0676941774684709,0.08218803460545923,0.051233856983955835,300
ODR,beta_odr,0.6,30.0,30.0,1.0,36,0.06682788803727716,0.10774826854141982,0.11723855038922902,0.08110032610212946,300
ODR,beta_odr,0.6,30.0,30.0,1.0,72,0.06848961878770828,0.08761688319705922,0.08084117922247885,0.05949302197134917,300
ODR,beta_odr,0.6,40.0,20.0,0.5,36,0.15261582625205647,0.16255884782841765,0.12531301210754564,0.11206730799160161,300
ODR,beta_odr,0.6,40.0,20.0,0.5,72,0.15106293302514065,0.15222461023310746,0.08645210727118345,0.08438285542667597,300
ODR,beta_odr,1.0,20.0,40.0,2.0,36,0.03369118803576921,0.09927293703948488,0.12154152855113241,0.07760901583762173,300
ODR,beta_odr,1.0,20.0,40.0,2.0,72,0.031169214171725048,0.06920652494755367,0.08299743689600127,0.055297215479326645,300
ODR,beta_odr,1.0,30.0,30.0,1.0,36,0.07800872529462775,0.10824056859437825,0.12290230321922539,0.09723931834414315,300
ODR,beta_odr,1.0,30.0,30.0,1.0,72,0.07610859115775175,0.09231402655753652,0.08729199982719528,0.06986703859530236,300
ODR,beta_odr,1.0,40.0,20.0,0.5,36,0.12396783715400098,0.1403430765934408,0.13482866173725358,0.11762711461937672,300
ODR,beta_odr,1.0,40.0,20.0,0.5,72,0.11934186301674808,0.1271482354121056,0.09918232512390598,0.08891852836790537,300
ODR,beta_odr,1.4,20.0,40.0,2.0,36,0.03446745460363538,0.10475115834336111,0.1260569655925871,0.07792838856425277,300
ODR,beta_odr,1.4,20.0,40.0,2.0,72,0.029817885980103535,0.07708612792913744,0.09089633331249726,0.056498481379296805,300
ODR,beta_odr,1.4,30.0,30.0,1.0,36,0.07597285211540127,0.12179817175920801,0.1373477459785961,0.09884923960023437,300
ODR,beta_odr,1.4,30.0,30.0,1.0,72,0.06331159050067256,0.09038805902283525,0.09366851870236273,0.06781024356855891,300
ODR,beta_odr,1.4,40.0,20.0,0.5,36,0.1068987657427515,0.14417866134147406,0.15806731165488072,0.12487525746901405,300
ODR,beta_odr,1.4,40.0,20.0,0.5,72,0.0868742814278114,0.1070857480807306,0.10270230472270346,0.08132918070660382,300
OLS,beta_ols,0.6,20.0,40.0,2.0,36,-0.03385893086542164,0.08926422445717007,0.10620090298095822,0.06658935545766996,300
OLS,beta_ols,0.6,20.0,40.0,2.0,72,-0.03240039383806184,0.06370576723144838,0.07510306805115768,0.051203215078316974,300
OLS,beta_ols,0.6,30.0,30.0,1.0,36,-0.06804298259334186,0.09188868934053689,0.09119928741897607,0.06701396482867997,300
OLS,beta_ols,0.6,30.0,30.0,1.0,72,-0.06980473189392714,0.07742529587705446,0.06361940745825383,0.05405275877225374,300
OLS,beta_ols,0.6,40.0,20.0,0.5,36,-0.10986082017614751,0.11643537732004146,0.07905334117276788,0.06896852585093925,300
OLS,beta_ols,0.6,40.0,20.0,0.5,72,-0.1145213850799635,0.11474071209694849,0.054945714180927537,0.054484676406842465,300
